target,model,feature_set,auroc,auprc,balanced_acc,prevalence,n_positive,n_total
shd_moderate_or_greater_flag,LogisticRegression,demographics,0.6684,0.6626,0.6196,0.5219,52188,100000
shd_moderate_or_greater_flag,RandomForest,demographics,0.6971,0.6986,0.6428,0.5219,52188,100000
shd_moderate_or_greater_flag,GradientBoosting,demographics,0.6897,0.6885,0.634,0.5219,52188,100000
lvef_lte_45_flag,LogisticRegression,demographics,0.6544,0.3415,0.6159,0.2389,23892,100000
lvef_lte_45_flag,RandomForest,demographics,0.6921,0.4057,0.6381,0.2389,23892,100000
lvef_lte_45_flag,GradientBoosting,demographics,0.6776,0.3767,0.5079,0.2389,23892,100000
lvwt_gte_13_flag,LogisticRegression,demographics,0.6292,0.3258,0.5991,0.2422,24220,100000
lvwt_gte_13_flag,RandomForest,demographics,0.6802,0.3992,0.6287,0.2422,24220,100000
lvwt_gte_13_flag,GradientBoosting,demographics,0.664,0.3755,0.5017,0.2422,24220,100000
aortic_stenosis_moderate_or_greater_flag,LogisticRegression,demographics,0.8615,0.2549,0.7782,0.0405,4054,100000
aortic_stenosis_moderate_or_greater_flag,RandomForest,demographics,0.8685,0.2937,0.787,0.0405,4054,100000
aortic_stenosis_moderate_or_greater_flag,GradientBoosting,demographics,0.8729,0.2873,0.5547,0.0405,4054,100000
aortic_regurgitation_moderate_or_greater_flag,LogisticRegression,demographics,0.5896,0.0164,0.5791,0.0126,1264,100000
aortic_regurgitation_moderate_or_greater_flag,RandomForest,demographics,0.7643,0.0692,0.7217,0.0126,1264,100000
aortic_regurgitation_moderate_or_greater_flag,GradientBoosting,demographics,0.7371,0.0591,0.5,0.0126,1264,100000
mitral_regurgitation_moderate_or_greater_flag,LogisticRegression,demographics,0.6541,0.1445,0.6051,0.0845,8451,100000
mitral_regurgitation_moderate_or_greater_flag,RandomForest,demographics,0.7178,0.2278,0.6613,0.0845,8451,100000
mitral_regurgitation_moderate_or_greater_flag,GradientBoosting,demographics,0.704,0.2053,0.5,0.0845,8451,100000
tricuspid_regurgitation_moderate_or_greater_flag,LogisticRegression,demographics,0.6189,0.1598,0.582,0.1065,10651,100000
tricuspid_regurgitation_moderate_or_greater_flag,RandomForest,demographics,0.7167,0.2626,0.6639,0.1065,10651,100000
tricuspid_regurgitation_moderate_or_greater_flag,GradientBoosting,demographics,0.6863,0.2306,0.503,0.1065,10651,100000
pulmonary_regurgitation_moderate_or_greater_flag,LogisticRegression,demographics,0.5475,0.0105,0.5467,0.0082,821,100000
pulmonary_regurgitation_moderate_or_greater_flag,RandomForest,demographics,0.887,0.1729,0.8283,0.0082,821,100000
pulmonary_regurgitation_moderate_or_greater_flag,GradientBoosting,demographics,0.8333,0.1416,0.503,0.0082,821,100000
rv_systolic_dysfunction_moderate_or_greater_flag,LogisticRegression,demographics,0.6604,0.2108,0.618,0.1324,13243,100000
rv_systolic_dysfunction_moderate_or_greater_flag,RandomForest,demographics,0.7239,0.3149,0.6628,0.1324,13243,100000
rv_systolic_dysfunction_moderate_or_greater_flag,GradientBoosting,demographics,0.7043,0.2877,0.5045,0.1324,13243,100000
pericardial_effusion_moderate_large_flag,LogisticRegression,demographics,0.6637,0.0528,0.6334,0.0302,3023,100000
pericardial_effusion_moderate_large_flag,RandomForest,demographics,0.7905,0.1916,0.7204,0.0302,3023,100000
pericardial_effusion_moderate_large_flag,GradientBoosting,demographics,0.7393,0.1527,0.5033,0.0302,3023,100000
pasp_gte_45_flag,LogisticRegression,demographics,0.6193,0.2602,0.5867,0.1899,18993,100000
pasp_gte_45_flag,RandomForest,demographics,0.6848,0.3366,0.6339,0.1899,18993,100000
pasp_gte_45_flag,GradientBoosting,demographics,0.6622,0.3086,0.5026,0.1899,18993,100000
tr_max_gte_32_flag,LogisticRegression,demographics,0.6327,0.1563,0.5937,0.1021,10212,100000
tr_max_gte_32_flag,RandomForest,demographics,0.7269,0.2479,0.664,0.1021,10212,100000
tr_max_gte_32_flag,GradientBoosting,demographics,0.6933,0.2203,0.5025,0.1021,10212,100000
